method,CS_latent,Ins_AUC,cs_rank
KL-IG² (adaptive),0.18734608739614486,0.12105127404113954,1
KL-IG²,0.16981978714466095,0.11528381464266566,2
KLIG-Adaptive,0.1623152405023575,0.15047742743228448,3
Vanilla Grad,0.15890524834394454,0.09029945553637661,4
SmoothGrad,0.15746021419763565,0.1468517043953143,5
ExpGrad,0.14471642822027206,0.13057749904688537,6
IG-zero,0.14440287202596663,0.11263484863292432,7
IDG,0.13916434943675995,0.10537634580727899,8
KL-IG (linear),0.13720484524965287,0.15587808989850235,9
Blur-IG,0.13439829796552658,0.17155867663736715,10
Guided IG,0.132735738158226,0.15068513159316355,11
Random,0.11322614550590515,0.07014274458799627,12
