method,ViT_CS,ResNet_CS,CLIP_CS,ViT_rank,ResNet_rank,CLIP_rank
KL-IG² (adaptive),0.18134005864461264,0.09976231257120768,0.04688898921012878,1,1,3
SmoothGrad,0.1661437749862671,0.09626501599947611,0.05616379380226135,2,3,1
Vanilla Grad,0.16412046949068707,0.060051355759302774,0.03483891487121582,3,11,8
KL-IG²,0.1506352961063385,0.08021558920542399,0.04190042018890381,4,6,5
IG-zero,0.15032618244489035,0.07194241285324096,0.029705788691838583,5,8,11
KLIG-Adaptive,0.14690443873405457,0.098798535267512,0.04229159156481425,6,2,4
KL-IG (linear),0.14477689464886984,0.08903033534685771,0.03987737496693929,7,4,7
Guided IG,0.14382537802060444,0.08763206799825032,0.05030420025189718,8,5,2
IDG,0.14086432854334513,0.061189351479212443,0.031062573194503784,9,10,10
ExpGrad,0.14044249852498372,0.07976490060488382,0.041010457277297976,10,7,6
Blur-IG,0.136387433608373,0.06664188702901204,0.026908481121063234,11,9,12
Random,0.11718404690424601,0.056758344173431396,0.031443979342778525,12,12,9
