method,pixel,rank_px,latent,rank_lat,overlap,rank_ov
KL-IG² (adaptive),0.9649455005594063,2,0.19064925760030746,1,0.8616877576333725,2
SmoothGrad,0.8249417649814859,8,0.16988881975412368,2,0.7888856573559938,6
KL-IG²,0.9643310815037693,3,0.16807486861944199,3,0.8419333919794468,3
Vanilla Grad,0.6583743046969175,9,0.15890393257141114,4,0.7201479824564586,9
ExpGrad,0.9435429993085563,4,0.1568969190120697,5,0.8417819050954142,4
KLIG-Adaptive,0.851576569059398,7,0.15532115250825881,6,0.770030715858112,8
IG-zero,0.6448268456500955,11,0.14440287202596663,7,0.6933268037767352,10
Guided IG,0.932340182410553,5,0.14337513893842696,8,0.8060108168324416,5
IDG,0.6496701471973211,10,0.1391577363014221,9,0.6778231341105856,11
Blur-IG,0.6358242507325486,12,0.13439831137657166,10,0.6467777079348483,12
KL-IG (linear),0.8557795266387984,6,0.1319087862968445,11,0.7707472786673213,7
Random,0.9960926787069184,1,0.12863336652517318,12,0.9471245112025051,1
