method,pixel_CS,rank_px,CS_latent,rank_lat,rank_shift
KL-IG² (adaptive),0.22752854228019714,7,0.18584948778152466,1,6
SmoothGrad,0.23839432249466577,5,0.17199701567490897,2,3
Vanilla Grad,0.20255044847726822,12,0.16831200818220773,3,9
KL-IG²,0.21061364312966666,10,0.16792660703261694,4,6
IG-zero,0.21583924194176993,8,0.15396441519260406,5,3
IDG,0.2088324005405108,11,0.1492709442973137,6,5
Blur-IG,0.21100916961828867,9,0.14623496184746423,7,2
Guided IG,0.2546709403395653,2,0.14522786190112433,8,-6
KLIG-Adaptive,0.24925083418687186,4,0.1444072127342224,9,-5
KL-IG (linear),0.22989542285601297,6,0.13992875317732492,10,-4
ExpGrad,0.2540657122929891,3,0.13501504560311636,11,-8
Random,0.3628048424919446,1,0.12501456588506699,12,-11
