row,alignment,se,rank
GT-oracle,1.0,1.4217791915866693e-17,1
KL-IG (linear),0.22366843705491982,0.019103285289593253,2
ExpGrad,0.2092255409932829,0.01843878971435365,3
Blur-IG,0.1977633101210449,0.014737168444256179,4
KLIG-Adaptive,0.18944810765809322,0.018126804629847563,5
IG-zero,0.13943832544522153,0.015072868995712552,6
Guided IG,0.13213430295077258,0.016472293730533865,7
IDG,0.048319402882902956,0.012192085312746057,8
SmoothGrad,0.0117116109848189,0.013111921570053142,9
Random,0.0031923041791985856,0.011224833185844742,10
Shuffle,0.0014197848155640693,0.008019079794229791,11
class-blind,0.0,0.0,12
Vanilla Grad,-0.04139831382157395,0.011472566742000288,13
KL-IG² (adaptive),-0.12692914309285666,0.02458959049292115,14
KL-IG²,-0.1337349886314022,0.02666455688625437,15
