method,hit_y1,hit_y2,CS_loc_mult,CS_loc_sub,rank
KLIG-Adaptive,0.2592869673579069,0.4979084014153179,0.13873263566652005,-0.23862143405741099,1
KL-IG (linear),0.26798234027017137,0.47050472304726637,0.1371863814772927,-0.202522382777095,2
Blur-IG,0.26768385163354097,0.4780397082246959,0.13663718790867865,-0.21035585659115488,3
Guided IG,0.23699572170815664,0.487121027502417,0.12563906647878864,-0.25012530579426034,4
KL-IG²,0.22515443242048047,0.5055056394715918,0.1240501240726209,-0.28035120705111133,5
IG-zero,0.23249963626925382,0.5081749891788828,0.12325323928514549,-0.27567535290962913,6
KL-IG² (adaptive),0.21509922188260944,0.5113201101632888,0.12165261886861779,-0.2962208882806794,7
ExpGrad,0.2335291722660451,0.4881363523024132,0.12150454890001516,-0.25460718003636806,8
SmoothGrad,0.2205305198422939,0.4564285107057122,0.11668563343700489,-0.23589799086341837,9
IDG,0.2198905294785702,0.4974911214691981,0.11458782519396789,-0.27760059199062787,10
Vanilla Grad,0.2071831763665717,0.5010338715523193,0.10664024777238475,-0.2938506951857476,11
