method,mean,se,winrate_vs_KLIG2A,wilcoxon_p
KL-IG² (adaptive),0.11409810778902357,0.011372337177623417,,
KL-IG²,0.04087911387360929,0.001913299229511841,0.65,6.000040731702688e-08
KL-IG (linear),0.021894924158771187,0.0007519697011854799,0.79,1.1127180638567001e-13
KLIG-Adaptive,0.019934650821803342,0.0008604793143583671,0.78,
ExpGrad,0.011842365301873548,0.0003277468216013086,0.94,8.023842397878198e-18
SmoothGrad,0.011741303268783589,0.00044639551682703677,0.99,
Guided IG,0.006670041695579917,0.00017662835552291204,1.0,
Random,0.0052443419775459145,3.232601374940373e-05,1.0,
Blur-IG,0.004590585128615502,0.00015424821681380042,1.0,
IG-zero,0.004198747760376143,0.00011196694508554456,1.0,
IDG,0.0039026764835301203,9.207084053566642e-05,1.0,
Vanilla Grad,0.002840025179458309,6.291917417119038e-05,1.0,
