method,align_spatial,align_featural,signblind_spatial,gap,interpretation
KL-IG (linear),0.2341118880062489,-0.026974385776978464,0.2691068766695059,0.26108627378322735,"TRACKS (aligns on spatial, flat on featural)"
ExpGrad,0.2114314327150184,0.15626985821567635,0.24776133307346837,0.05516157449934206,IMPOSES (structured even on featural)
Blur-IG,0.20217002638467474,0.09200210557727238,0.2761278607115476,0.11016792080740236,"TRACKS (aligns on spatial, flat on featural)"
KLIG-Adaptive,0.1995183414571192,-0.05223750351852866,0.25079910477800266,0.25175584497564785,"TRACKS (aligns on spatial, flat on featural)"
IG-zero,0.14244716469671537,0.06722618340936898,0.18681468844687157,0.07522098128734639,"TRACKS (aligns on spatial, flat on featural)"
Guided IG,0.13092020632388648,0.04427248972436947,0.20595490424492002,0.086647716599517,"TRACKS (aligns on spatial, flat on featural)"
IDG,0.04638359895856536,0.08898224645302336,0.12765621849254508,-0.042598647494458,MISSES (no alignment even on spatial)
SmoothGrad,0.015653008650178785,-0.08288193298381823,0.2095479314062713,0.09853494163399701,MISSES (no alignment even on spatial)
Random,0.0026751020166007286,0.015605156081547208,-0.0024425148641897937,-0.01293005406494648,MISSES (no alignment even on spatial)
Vanilla Grad,-0.04561615799731537,0.06041397699936012,0.11967782589723493,-0.10603013499667549,MISSES (no alignment even on spatial)
KL-IG²,-0.137253472564053,-0.049291374247783085,0.2482741799537039,-0.0879620983162699,mixed
KL-IG² (adaptive),-0.13964443279382943,0.17823780973048947,0.23630414590340254,-0.3178822425243189,mixed
