method,lands_on_region,differ_and_right,se
KL-IG² (adaptive),0.34081413336350713,0.07470004323565822,0.019610148157052514
IG-zero,0.34687099236956037,0.06858218286942067,0.01687911443018303
KL-IG (linear),0.3347791673012223,0.056811716467011275,0.015718401891341775
KL-IG²,0.3400027367137975,0.0432239513913711,0.01692407079179324
KLIG-Adaptive,0.3285418384866178,0.04294735773776967,0.013350104446932165
ExpGrad,0.34051965415720126,0.042122705987873495,0.01364185247587879
Vanilla Grad,0.3488899056078739,0.04155538508044865,0.01570456679834887
Blur-IG,0.32182440805601314,0.040113322447832056,0.013277601211187554
SmoothGrad,0.3163595264979248,0.035771610952367576,0.01917631139459362
Guided IG,0.3302998745542698,0.03319675897302357,0.015346593064326031
IDG,0.33202232594965586,0.01117220227847549,0.015000156651938231
