category,n,spatial,featural,pct_spatial
barn spider,5,5,0,100
tobacco shop,5,5,0,100
hot pot,4,3,1,75
breastplate,4,2,2,50
trombone,4,2,2,50
Pekinese,3,3,0,100
dhole,3,3,0,100
home theater,3,3,0,100
kite,3,3,0,100
palace,3,3,0,100
photocopier,3,3,0,100
pot,3,3,0,100
space bar,3,3,0,100
trailer truck,3,3,0,100
wardrobe,3,3,0,100
wool,3,3,0,100
worm fence,3,3,0,100
cairn,3,2,1,67
capuchin,3,2,1,67
hair slide,3,2,1,67
ski,3,2,1,67
tub,3,1,2,33
American lobster,2,2,0,100
Bouvier des Flandres,2,2,0,100
French loaf,2,2,0,100
Great Pyrenees,2,2,0,100
Greater Swiss Mountain dog,2,2,0,100
Labrador retriever,2,2,0,100
Polaroid camera,2,2,0,100
Saluki,2,2,0,100
Scotch terrier,2,2,0,100
abaya,2,2,0,100
aircraft carrier,2,2,0,100
altar,2,2,0,100
ballplayer,2,2,0,100
barbell,2,2,0,100
barrel,2,2,0,100
bath towel,2,2,0,100
bearskin,2,2,0,100
bee,2,2,0,100
bell cote,2,2,0,100
bison,2,2,0,100
black grouse,2,2,0,100
black-and-tan coonhound,2,2,0,100
bobsled,2,2,0,100
bolete,2,2,0,100
can opener,2,2,0,100
canoe,2,2,0,100
carpenter's kit,2,2,0,100
cassette,2,2,0,100
chainlink fence,2,2,0,100
chiton,2,2,0,100
cliff,2,2,0,100
coil,2,2,0,100
consomme,2,2,0,100
crash helmet,2,2,0,100
curly-coated retriever,2,2,0,100
dalmatian,2,2,0,100
dome,2,2,0,100
drilling platform,2,2,0,100
electric guitar,2,2,0,100
espresso maker,2,2,0,100
frilled lizard,2,2,0,100
garbage truck,2,2,0,100
green mamba,2,2,0,100
grey whale,2,2,0,100
ground beetle,2,2,0,100
hen,2,2,0,100
honeycomb,2,2,0,100
indri,2,2,0,100
ladybug,2,2,0,100
lakeside,2,2,0,100
leopard,2,2,0,100
lesser panda,2,2,0,100
lionfish,2,2,0,100
lorikeet,2,2,0,100
malinois,2,2,0,100
maraca,2,2,0,100
measuring cup,2,2,0,100
megalith,2,2,0,100
milk can,2,2,0,100
mixing bowl,2,2,0,100
modem,2,2,0,100
monastery,2,2,0,100
otterhound,2,2,0,100
overskirt,2,2,0,100
park bench,2,2,0,100
passenger car,2,2,0,100
pedestal,2,2,0,100
plate,2,2,0,100
plate rack,2,2,0,100
potter's wheel,2,2,0,100
pretzel,2,2,0,100
purse,2,2,0,100
recreational vehicle,2,2,0,100
reel,2,2,0,100
restaurant,2,2,0,100
rock crab,2,2,0,100
rocking chair,2,2,0,100
sea slug,2,2,0,100
seashore,2,2,0,100
sewing machine,2,2,0,100
shopping cart,2,2,0,100
ski mask,2,2,0,100
sleeping bag,2,2,0,100
snail,2,2,0,100
snowplow,2,2,0,100
solar dish,2,2,0,100
space shuttle,2,2,0,100
tiger shark,2,2,0,100
tricycle,2,2,0,100
trifle,2,2,0,100
trimaran,2,2,0,100
tusker,2,2,0,100
upright,2,2,0,100
vending machine,2,2,0,100
violin,2,2,0,100
warplane,2,2,0,100
water jug,2,2,0,100
web site,2,2,0,100
whippet,2,2,0,100
window shade,2,2,0,100
American Staffordshire terrier,2,1,1,50
American egret,2,1,1,50
Border collie,2,1,1,50
Rottweiler,2,1,1,50
Walker hound,2,1,1,50
balloon,2,1,1,50
common newt,2,1,1,50
dam,2,1,1,50
desk,2,1,1,50
disk brake,2,1,1,50
horizontal bar,2,1,1,50
horned viper,2,1,1,50
impala,2,1,1,50
limousine,2,1,1,50
lotion,2,1,1,50
loudspeaker,2,1,1,50
mud turtle,2,1,1,50
rubber eraser,2,1,1,50
standard schnauzer,2,1,1,50
swimming trunks,2,1,1,50
table lamp,2,1,1,50
thresher,2,1,1,50
vestment,2,1,1,50
wild boar,2,1,1,50
wine bottle,2,1,1,50
American chameleon,2,0,2,0
ear,2,0,2,0
polecat,2,0,2,0
tape player,2,0,2,0
Afghan hound,1,1,0,100
African crocodile,1,1,0,100
African elephant,1,1,0,100
African grey,1,1,0,100
African hunting dog,1,1,0,100
Airedale,1,1,0,100
American alligator,1,1,0,100
American black bear,1,1,0,100
American coot,1,1,0,100
Angora,1,1,0,100
