category,n,spatial,featural,pct_spatial
common newt,21,21,0,100
American chameleon,21,11,10,52
barn spider,20,19,1,95
tench,16,16,0,100
rock python,16,15,1,94
whiptail,15,14,1,93
loggerhead,13,13,0,100
red-breasted merganser,13,13,0,100
triceratops,13,13,0,100
jacamar,13,12,1,92
black and gold garden spider,13,10,3,77
horned viper,13,6,7,46
hummingbird,12,12,0,100
ostrich,12,12,0,100
hen,12,11,1,92
terrapin,12,10,2,83
partridge,12,9,3,75
green mamba,12,8,4,67
bulbul,11,11,0,100
frilled lizard,11,11,0,100
goldfish,11,11,0,100
jellyfish,11,11,0,100
lorikeet,11,11,0,100
macaw,11,11,0,100
ptarmigan,11,11,0,100
scorpion,11,11,0,100
tailed frog,11,11,0,100
eft,11,9,2,82
electric ray,11,9,2,82
alligator lizard,10,10,0,100
bee eater,10,10,0,100
indigo bunting,10,10,0,100
kite,10,10,0,100
magpie,10,10,0,100
sulphur-crested cockatoo,10,10,0,100
tarantula,10,10,0,100
thunder snake,10,10,0,100
vulture,10,10,0,100
agama,9,9,0,100
black swan,9,9,0,100
great grey owl,9,9,0,100
house finch,9,9,0,100
jay,9,9,0,100
quail,9,9,0,100
robin,9,9,0,100
trilobite,9,9,0,100
wallaby,9,9,0,100
water ouzel,9,9,0,100
African crocodile,9,8,1,89
Gila monster,9,8,1,89
Komodo dragon,9,8,1,89
axolotl,9,8,1,89
harvestman,9,8,1,89
ruffed grouse,9,8,1,89
American alligator,9,7,2,78
mud turtle,9,7,2,78
banded gecko,8,8,0,100
boa constrictor,8,8,0,100
centipede,8,8,0,100
common iguana,8,8,0,100
coucal,8,8,0,100
echidna,8,8,0,100
garter snake,8,8,0,100
great white shark,8,8,0,100
tick,8,8,0,100
water snake,8,8,0,100
black widow,8,7,1,88
box turtle,8,7,1,88
tiger shark,8,7,1,88
sidewinder,8,6,2,75
African grey,7,7,0,100
Indian cobra,7,7,0,100
bald eagle,7,7,0,100
black grouse,7,7,0,100
cock,7,7,0,100
drake,7,7,0,100
hornbill,7,7,0,100
nematode,7,7,0,100
platypus,7,7,0,100
sea anemone,7,7,0,100
sea snake,7,7,0,100
spotted salamander,7,7,0,100
toucan,7,7,0,100
brambling,7,6,1,86
hammerhead,7,6,1,86
leatherback turtle,7,6,1,86
ringneck snake,7,6,1,86
African chameleon,6,6,0,100
European fire salamander,6,6,0,100
brain coral,6,6,0,100
goose,6,6,0,100
junco,6,6,0,100
king snake,6,6,0,100
prairie chicken,6,6,0,100
bullfrog,5,5,0,100
goldfinch,5,5,0,100
koala,5,5,0,100
vine snake,5,5,0,100
wombat,5,5,0,100
diamondback,5,4,1,80
chickadee,4,4,0,100
flatworm,4,4,0,100
hognose snake,4,4,0,100
peacock,4,4,0,100
tree frog,4,4,0,100
tusker,4,4,0,100
stingray,4,2,2,50
slug,3,3,0,100
chiton,2,2,0,100
ground beetle,2,2,0,100
night snake,2,1,1,50
bustard,1,1,0,100
coil,1,1,0,100
croquet ball,1,1,0,100
dung beetle,1,1,0,100
ear,1,1,0,100
face powder,1,1,0,100
fiddler crab,1,1,0,100
garden spider,1,1,0,100
green lizard,1,1,0,100
hot pot,1,1,0,100
ibex,1,1,0,100
isopod,1,1,0,100
lumbermill,1,1,0,100
mousetrap,1,1,0,100
oystercatcher,1,1,0,100
pot,1,1,0,100
sea slug,1,1,0,100
snail,1,1,0,100
snowmobile,1,1,0,100
stinkhorn,1,1,0,100
stretcher,1,1,0,100
thatch,1,1,0,100
valley,1,1,0,100
walking stick,1,1,0,100
grey whale,1,0,1,0
hartebeest,1,0,1,0
leafhopper,1,0,1,0
worm fence,1,0,1,0
