idx,y1,y1_label,category,ratio,regime
0,431,bassinet,other,2.2903339804600322,spatial
1,582,grocery store,other,0.8444321326433252,spatial
2,578,gown,clothing,1.0812958376570292,spatial
3,664,monitor,other,1.1026038233758877,spatial
4,597,holster,other,1.5440762809842565,spatial
5,577,gong,other,0.37749257380350665,featural
6,542,drumstick,instrument,1.932835164783296,spatial
7,546,electric guitar,instrument,1.9457032743106368,spatial
8,546,electric guitar,instrument,4.689508445495357,spatial
9,543,dumbbell,other,1.7554516174245702,spatial
10,431,bassinet,other,1.052366276499688,spatial
11,509,confectionery,other,2.6298503243475304,spatial
12,727,planetarium,other,1.1494516985539027,spatial
13,776,sax,instrument,1.2872005613096946,spatial
14,519,crate,other,6.24494588910203,spatial
15,566,French horn,other,2.239967900234546,spatial
16,705,passenger car,vehicle,5.615137398205477,spatial
17,578,gown,clothing,2.7882603036295888,spatial
18,550,espresso maker,food,2.058650994441645,spatial
19,524,cuirass,other,0.414903078798751,featural
20,511,convertible,other,5.977386575242558,spatial
21,543,dumbbell,other,2.2069321822637797,spatial
22,472,canoe,vehicle,1.3069036844407818,spatial
23,602,horizontal bar,other,1.1487991462309504,spatial
24,865,toyshop,other,1.7036674956384144,spatial
25,579,grand piano,instrument,1.9500163571162572,spatial
26,598,home theater,other,1.0483707789340337,spatial
27,526,desk,furniture,1.1333535789225662,spatial
28,410,apiary,other,2.5844001066471027,spatial
29,766,rotisserie,other,6.505140991815431,spatial
30,505,coffeepot,other,0.20194603884122642,featural
31,585,hair spray,other,1.0201295300408824,spatial
32,443,bib,other,8.359471219047824,spatial
33,473,can opener,other,1.637775881414579,spatial
34,511,convertible,other,4.808301560385133,spatial
35,532,dining table,furniture,2.5886238135256625,spatial
36,431,bassinet,other,1.1606500919932332,spatial
37,584,hair slide,other,0.7729338035392698,spatial
38,516,cradle,furniture,1.191985129484456,spatial
39,590,hand-held computer,other,1.6246245626016087,spatial
40,531,digital watch,other,0.7183675483269397,spatial
