method,signed,sign_blind,se
GT-oracle,1.0,1.0,0.0
IG-zero,0.06046257642706851,0.1164815706019885,0.01810608435279294
KL-IG (linear),0.07683834294412652,0.11294916043668193,0.018105236409735888
Shuffle,-0.013396396417657552,0.10496714922953877,0.013976029987843998
Vanilla Grad,0.002725693300210108,0.10430344590879224,0.01617073100614027
KL-IG² (adaptive),0.06434927186597682,0.0938317738725103,0.017217741751268213
KLIG-Adaptive,0.06302194270486491,0.09223529254710278,0.01800253921942229
KL-IG²,0.08879450680877018,0.07559160090557678,0.020020741797278648
Blur-IG,0.06384227228952107,0.07210509413696045,0.01813169119383506
Random,-0.0010449568294087803,-0.1368424537423056,0.01017884137600428
