row,correctness,class_sensitivity,se
GT-oracle,1.0,0.9081350687917848,0.0096690077199904
Shuffle,0.08286099389346345,0.9076181251193717,0.006169912265506942
Random,0.06676353707520198,0.8743754584266326,0.0076647455817671906
KL-IG² (adaptive),0.16387861175733598,0.6260792429555856,0.022705727320032336
Vanilla Grad,0.16429047769116029,0.5730569895087849,0.018931327759825083
KLIG-Adaptive,0.15326626145279623,0.543313854320669,0.022035539618985966
KL-IG²,0.16038897450527442,0.5431509746777953,0.021606117111813462
IG-zero,0.16424458716767462,0.4859339838475289,0.018176164660092007
Blur-IG,0.14293381020679616,0.4762621292940617,0.019497391792694337
KL-IG (linear),0.15121050504856737,0.4760223756075216,0.020886348207872454
class-blind,0.14390484106347703,0.0,0.0
