method,correctness,se
Vanilla Grad,0.23680086330394787,0.002502675899001466
IDG,0.23179545540049243,0.002354386271964481
IG-zero,0.23042824498183054,0.002370913566596821
ExpGrad,0.22421035451011198,0.0024320744854876464
KL-IG²,0.22158219154701236,0.002413203443379627
KL-IG² (adaptive),0.2213237869028686,0.0024414588347448116
Guided IG,0.21844723739441094,0.00247989026740811
KLIG-Adaptive,0.2170706511202433,0.002431685241411167
KL-IG (linear),0.21544745562336715,0.0023685757268485682
Blur-IG,0.21296904848884826,0.002333756030001067
SmoothGrad,0.2100217701556174,0.0023856986363906905
