method,correctness,correctness_se,class_sensitivity,class_sensitivity_se
Vanilla Grad,0.36920833333333336,0.018933648386036582,0.5730569895087849,0.018931327759825083
SmoothGrad,0.3323452380952381,0.019124875153357715,0.532404401376359,0.01968678939660471
IG-zero,0.40029761904761907,0.018701408597529383,0.4859339838475289,0.018176164660092007
Blur-IG,0.3663095238095238,0.019097664909319727,0.4762621292940617,0.019497391792694337
IDG,0.3796666666666667,0.0185278685569956,0.45694056653711057,0.01882563149468907
Guided IG,0.3565238095238095,0.01882836036926772,0.5396689093500239,0.021341104478152767
ExpGrad,0.38986904761904767,0.01901275825901245,0.5433537044198977,0.01907916681409643
KLIG-Adaptive,0.36811309523809527,0.018476709916720978,0.5515127170567775,0.021559689418439703
KL-IG (linear),0.3847083333333333,0.019336619137673823,0.49071734439949205,0.01916886651380792
KL-IG²,0.38492261904761904,0.019939918751092495,0.5350091568229957,0.022532020150352713
KL-IG² (adaptive),0.4070833333333333,0.019600605261461856,0.6527115249545826,0.023557207138089134
