method,correctness,class_sens_iou,class_sens_cos
Vanilla Grad,0.29597504748876935,0.5730569895087849,0.0545525799458755
SmoothGrad,0.2911662437111249,0.532404401376359,0.05017582248149338
IG-zero,0.3040585510887933,0.4859339838475289,0.0551859241772181
Blur-IG,0.29525083991748635,0.4762621292940617,0.04980315969341161
IDG,0.3016285879007226,0.45694056653711057,0.05332523870623748
Guided IG,0.29626073619519944,0.5396689093500239,0.05361410242004048
ExpGrad,0.2937573607853538,0.5433537044198977,0.0393457559984527
KLIG-Adaptive,0.29714201616729297,0.5515127170567775,0.06538577308038629
KL-IG (linear),0.2960711793277097,0.49071734439949205,0.04252424376295532
KL-IG²,0.28786527951199053,0.5350091568229957,0.02882877363925669
KL-IG² (adaptive),0.2895641569017395,0.6527115249545826,0.049771685611973385
