method,correctness,class_sensitivity
Vanilla Grad,0.4139952380952381,0.6687103063603064
SmoothGrad,0.3712011904761905,0.560559561783246
IG-zero,0.4138523809523809,0.5457455988455988
Blur-IG,0.37845238095238093,0.49439436674436676
IDG,0.413325,0.5602335497835499
Guided IG,0.38062261904761907,0.5979739538239538
ExpGrad,0.4001345238095238,0.5396667473049827
KLIG-Adaptive,0.38579166666666664,0.5220223323460166
KL-IG (linear),0.38906071428571426,0.4441661616161616
KL-IG²,0.38742499999999996,0.559905044955045
KL-IG² (adaptive),0.3865452380952381,0.6366607337107336
