method,gated_CSstruct,gc_se
KL-IG² (adaptive),0.11225164524118371,0.008228485134034378
KL-IG²,0.10785857389576209,0.008145369295023016
KLIG-Adaptive,0.03345128963685618,0.002546804021273784
KL-IG (linear),0.029931437941874032,0.001653392267410096
SmoothGrad,0.021260486272623592,0.0009351959935326089
ExpGrad,0.02115654280019284,0.0010965067792578476
IG-zero,0.019087708267716812,0.0009520674693380368
Blur-IG,0.018753943581364712,0.0006482145576018364
IDG,0.017945910629586462,0.0010380900239963435
Guided IG,0.013819024108827653,0.0004881005929162997
Vanilla Grad,0.013609576441402267,0.0007449378059129831
