row,correctness,class_sensitivity,se
GT-oracle,1.0,0.931294871794872,0.011171906556977742
IG-zero,0.40029761904761907,0.5862420912420913,0.027423568677606598
KL-IG²,0.38654761904761903,0.6415554445554446,0.027465477783632238
KLIG-Adaptive,0.38198809523809524,0.6865638805638806,0.024236670485957724
KL-IG (linear),0.3787202380952381,0.6136367521367522,0.025990299456900727
KL-IG² (adaptive),0.3714166666666667,0.7524848484848486,0.024331162601396658
Vanilla Grad,0.36920833333333336,0.6748722943722946,0.02361922133432
Blur-IG,0.3663095238095238,0.5671317016317016,0.02640770954802285
class-blind,0.3363333333333334,0.0,0.0
Shuffle,0.2648154761904762,0.9690835830835831,0.006562604271931427
Random,0.19482142857142853,0.9306824286824287,0.009760328308879549
