method,lands_correct,differ_and_right,dr_se
KL-IG² (adaptive),0.21332244488812724,0.027185561384617574,0.007272094442371357
IG-zero,0.2175720413209601,0.024947490228991485,0.006164421227965935
KL-IG (linear),0.20833234829985461,0.020226515052099877,0.005428164848626494
ExpGrad,0.21272310545832937,0.01620987107626027,0.004951048300318126
KL-IG²,0.21247223449147865,0.01518183225989846,0.006239377610352032
KLIG-Adaptive,0.20345175661820028,0.0148214669326677,0.004728511143025696
Vanilla Grad,0.21822170243404848,0.014278339890451623,0.00583647432759641
Blur-IG,0.19797253461758263,0.014253794343835146,0.0047450345661017
SmoothGrad,0.1969586849868926,0.013707428207405946,0.0068517076534993174
Guided IG,0.20420282940201556,0.01137752878259024,0.005410205527637363
IDG,0.20568736937417814,0.0031231142771425855,0.005603099622355343
