method,dd_full,df_se,dd_reg,dr_se,gated_CSstruct,gc_se
KL-IG² (adaptive),0.2846183499665017,0.0048247857524150355,0.2782165268139522,0.005023862839605268,0.12716217082322345,0.004615316260567841
KL-IG²,0.1923090592344482,0.003497542288198513,0.18655685390843849,0.003675284956121242,0.06597013125677195,0.0017846950191365745
KL-IG (linear),0.18536038879295985,0.0034403719313220414,0.18465709007725511,0.0037770219012233076,0.02530169169488121,0.0004559116415514135
KLIG-Adaptive,0.3438981790610714,0.005909128649932601,0.3457731975812277,0.006293096281326482,0.024979018373967817,0.0005855339720220638
ExpGrad,0.2081221436066345,0.0033118601240053175,0.20531769185486137,0.0036196988452996803,0.013717682839952628,0.0001867233382357969
SmoothGrad,0.23505846704140326,0.004001018012624272,0.23114052572853938,0.0043053563554894736,0.013159499025875121,0.00018464562273116703
Guided IG,0.24668287243297782,0.00378608424068353,0.23593210380570373,0.004035172560000292,0.007806814229931037,9.592401900055745e-05
Blur-IG,0.2302279746732317,0.0037679710165936606,0.22320685013409974,0.004003962016027824,0.00622788070913507,9.763776546533162e-05
IG-zero,0.2586652590748566,0.004076751126348035,0.25404144105822524,0.004344858919812918,0.005885467122640957,7.763694170149982e-05
IDG,0.2817860017874158,0.004464374447197348,0.2781231377225513,0.004758851059738513,0.004678597233385739,6.006653401155459e-05
Vanilla Grad,0.283443927947106,0.004364918219455668,0.279711043445241,0.004693055508186278,0.003179065372949227,4.01063228851262e-05
