method,diff_energy,de_se,gated_CSstruct,gc_se
KL-IG² (adaptive),0.2846183499665017,0.0048247857524150355,0.12716217082322345,0.004615316260567841
KL-IG²,0.1923090592344482,0.003497542288198513,0.06597013125677195,0.0017846950191365745
KL-IG (linear),0.18536038879295985,0.0034403719313220414,0.02530169169488121,0.0004559116415514135
KLIG-Adaptive,0.3438981790610714,0.005909128649932601,0.024979018373967817,0.0005855339720220638
ExpGrad,0.2081221436066345,0.0033118601240053175,0.013717682839952628,0.0001867233382357969
SmoothGrad,0.23505846704140326,0.004001018012624272,0.013159499025875121,0.00018464562273116703
Guided IG,0.24668287243297782,0.00378608424068353,0.007806814229931037,9.592401900055745e-05
Blur-IG,0.2302279746732317,0.0037679710165936606,0.00622788070913507,9.763776546533162e-05
IG-zero,0.2586652590748566,0.004076751126348035,0.005885467122640957,7.763694170149982e-05
IDG,0.2817860017874158,0.004464374447197348,0.004678597233385739,6.006653401155459e-05
Vanilla Grad,0.283443927947106,0.004364918219455668,0.003179065372949227,4.01063228851262e-05
