method,multiply,diff,rank
Random,0.033582079261541366,0.1520443719625473,1
KL-IG² (adaptive),0.011856210003606975,0.061653942912817,2
KL-IG²,0.012943995809182525,0.060173440612852576,3
ExpGrad,0.006879255557432771,0.0491999788582325,4
Guided IG,0.005975928991101682,0.043158733434975144,5
SmoothGrad,0.006011515073478222,0.03926271194592118,6
KL-IG (linear),0.005232574082911014,0.03690381953492761,7
KLIG-Adaptive,0.004411776911001653,0.03655393961817026,8
Vanilla Grad,0.005129612262826413,0.03167805660516024,9
IG-zero,0.0037155470624566076,0.027175084846094252,10
IDG,0.0038690325210336595,0.026045847963541747,11
Blur-IG,0.003404175821924582,0.023043482406064866,12
